Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
AXLA,"Axcella Health, Inc.",4.72,N/A,107.71124,N/A,N/A,0.364050139
AXNX,"Axonics Modulation Technologies, Inc.",33.35,N/A,1071.05309,-13.95,N/A,1.133963764
AXSM,"Axsome Therapeutics, Inc.",90.775,N/A,3423.4848,-56.48,N/A,1.461105708
AXTI,"AXT, Inc.",4.285,N/A,167.3152,-93.86,N/A,1.744899182
AYR,Aircastle Ltd.,32.24,0.037278658,2412.83364,11.45,0.426318033,0.838414467
AZZ,"AZZ, Inc.",43.71,0.015632184,1141.44,16.89,0.262801932,1.418730432
B,"Barnes Group, Inc.",66.22,0.009676444,3354.22396,21.76,0.210284212,1.44871242
BANC,"Banc of California, Inc.",16.98,0.018213866,866.170283,395.8,7.226107226,1.254355269
BAND,"Bandwidth, Inc.",74.895,N/A,1733.863654,559.58,N/A,1.161482784
BANF,BancFirst Corp. (Oklahoma),60.17,0.020441807,1983.21804,14.56,0.300075019,1.1208718
BANR,Banner Corp.,54.64,0.030224843,1942.030078,13.02,0.390680833,1.236754312
BATRA,Liberty Media Corp. Liberty Braves,28.85,N/A,17349.9352,-97.99,N/A,0.608753718
BATRK,Liberty Media Corp. Liberty Braves,28.8,N/A,17361.9048,-98.3,N/A,0.591808149
BBBY,"Bed Bath & Beyond, Inc.",11.785,0.045117845,1885.37085,-1.88,-0.106869985,1.349026807
BBCP,"Concrete Pumping Holdings, Inc.",5.61,N/A,315.76378,-4.6,N/A,1.639950983
BBIO,"BridgeBio Pharma, Inc.",34.62,N/A,4305.353,N/A,N/A,1.014026528
BBSI,"Barrett Business Services, Inc.",82.52,0.012550801,626.94804,11.5,0.146135753,1.265061641
BBX,BBX Capital Corp.,3.92,0.012055838,376.506794,15.49,0.187672857,1.108928461
BCBP,"BCB Bancorp, Inc.",13.03,0.042977744,228.243904,10.82,0.465270854,0.783528243
BCC,Boise Cascade Co.,38.64,0.00928553,1511.09952,-246.43,-2.295918367,1.127167873
BCEI,"Bonanza Creek Energy, Inc.",17.48,N/A,365.44585,2.04,N/A,1.484934455
BCEL,"Atreca, Inc.",21.25,N/A,566.49373,N/A,N/A,-0.524027196
BCML,BayCom Corp.,23.3,N/A,288.839166,15.5,N/A,0.77767739
BCO,The Brink's Co.,84.47,0.007125891,4212.105,153.47,1.090116279,1.270617638
BCOR,"Blucora, Inc.",22.87,N/A,1104.64351,86.67,N/A,1.384527054
BCOV,"Brightcove, Inc.",8.605,N/A,337.5687,-18.01,N/A,0.879714815
BCPC,Balchem Corp.,111.95,0.00461361,3625.76799,45.22,0.210202927,1.451200224
BCRX,"BioCryst Pharmaceuticals, Inc.",2.915,N/A,446.7711,-2.4,N/A,1.192655558
BDC,"Belden, Inc.",51.53,0.003910833,2324.72212,-5.94,-0.023041475,1.769689447
BDGE,"Bridge Bancorp, Inc.",31.72,0.029187817,625.26224,12.25,0.355088965,1.120373599
BDSI,"BioDelivery Sciences International, Inc.",5.325,N/A,481.03455,-18.89,N/A,0.830995456
BE,Bloom Energy Corp.,10.46,N/A,1195.357709,-4.16,N/A,1.118973219
BEAT,"BioTelemetry, Inc.",53.045,N/A,1777.7293,46.21,N/A,1.277119627
BECN,"Beacon Roofing Supply, Inc.",35.74,N/A,2395.13686,-38.92,N/A,0.885224726
BELFB,"Bel Fuse, Inc.",17.28,0.016166282,212.58568,125.56,2.02166065,2.155642392
BFC,Bank First Corp.,63.33,0.01254902,451.66875,16.28,0.204514661,0.863949716
BFIN,BankFinancial Corp.,12.36,0.032414911,189.71516,12.8,0.413436693,0.715456847
BFS,"Saul Centers, Inc.",47.76,0.044678609,1096.095,27.94,1.240056153,0.939589882
BFST,"Business First Bancshares, Inc.",26.11,0.014553811,346.71469,14.68,0.21281362,1.055597126
BGG,Briggs & Stratton Corp.,3.4,0.120253165,134.23048,-2.36,-0.263760672,1.782136295
BGS,"B&G Foods, Inc.",13.95,0.134751773,903.03027,5.14,0.700254303,0.054587721
BGSF,"BG Staffing, Inc.",19.19,0.062337662,197.1585,12.77,0.798456318,1.187629719
BH,"Biglari Holdings, Inc.",113.8,N/A,260.41992,2.18,N/A,1.556034947
BHB,Bar Harbor Bankshares,22.95,0.037785589,354.10008,15.77,0.590781068,0.987976347
BHE,"Benchmark Electronics, Inc.",28.29,0.021762786,1037.37639,48.12,1.020581732,1.274170214
BHLB,"Berkshire Hills Bancorp, Inc.",28.75,0.031966644,1427.0563,14.65,0.468765923,1.258290209
